searchval,blk_no,road_name,building,address,postal,x,y,latitude,longitude,query,category
alexis,354,alexandra road,alexis,354 alexandra road alexis singapore 159948,159948,25110.0289613642,30411.3465087675,1.29130379243474,103.807350978054,alexis,condo
newton suites,60,newton road,newton suites,60 newton road newton suites singapore 307994,307994,29001.0810280265,33341.2488317247,1.31780091416565,103.842313806169,suites @ newton,condo
jardin,968,dunearn road,jardin,968 dunearn road jardin singapore 589489,589489,22082.6745970426,35539.9248849712,1.337684398384,103.780147954617,jardin,condo
penrose,30,sims drive,penrose,30 sims drive penrose singapore 387400,387400,33154.4635000033,33455.8819794897,1.31883719877917,103.87963409453,penrose,condo
evergreen park,37,hougang avenue 7,evergreen park,37 hougang avenue 7 evergreen park singapore 538803,538803,35374.1603955291,39061.7031008899,1.36953376586593,103.899580575626,evergreen park,condo
the oxley,9,oxley rise,the oxley,9 oxley rise the oxley singapore 238697,238697,28984.1032922072,31267.1674526334,1.29904365422678,103.842161186929,the rise @ oxley - residences,condo
holland road pumping station,,holland road,holland road pumping station,holland road holland road pumping station,nil,25329.2024885276,32192.4195795245,1.30741120854392,103.809320191854,millage,condo
11 holland heights singapore 249511,11,holland heights,nil,11 holland heights singapore 249511,249511,24708.349208408,32282.6877268292,1.30822750180681,103.803741520408,holland heights,condo
katong regency,15,tanjong katong road,katong regency,15 tanjong katong road katong regency singapore 436950,436950,34868.311893479,32973.1533438545,1.31447123781646,103.895033794499,katong regency,condo
prestige residence,52,lorong g telok kurau,prestige residence,52 lorong g telok kurau prestige residence singapore 426235,426235,36542.8720506066,33234.5745897423,1.31683501739239,103.910080618576,prestige residence,condo
maybelle lodge,38c,lorong k telok kurau,maybelle lodge,38c lorong k telok kurau maybelle lodge singapore 425649,425649,36466.584594178,32725.8022004664,1.31223388473672,103.909394998258,maybelle lodge,condo
cambio suites,28,lim tua tow road,cambio suites,28 lim tua tow road cambio suites singapore 547791,547791,32801.0169292837,37477.8116878308,1.35521015162313,103.876458829956,cambio suites,condo
langsat road,,langsat road,nil,langsat road,nil,35727.9155089843,33072.0510666445,1.31536544460754,103.902757865635,langsat road,condo
106 eng neo avenue singapore 289566,106,eng neo avenue,nil,106 eng neo avenue singapore 289566,289566,24265.8230233025,35346.4768436011,1.33593527215089,103.799764838995,eng neo avenue,condo
chiku mansions,7c,chiku road,chiku mansions,7c chiku road chiku mansions singapore 429421,429421,36085.2281880854,32914.1357092876,1.31393720763458,103.905968374784,en fu mansions,condo
rocca balestier,221,balestier road,rocca balestier,221 balestier road rocca balestier singapore 329928,329928,30137.6078279773,33727.683267178,1.32129563232502,103.852526109528,rocca balestier,condo
boulevard vue,11,cuscaden walk,boulevard vue,11 cuscaden walk boulevard vue singapore 249697,249697,27522.3736430388,31713.7707351465,1.30308258890109,103.829026886185,boulevard vue,condo
esta ruby,500,guillemard road,esta ruby,500 guillemard road esta ruby singapore 399839,399839,34710.6576194698,32909.9921131209,1.31390006507675,103.893617178884,esta ruby,condo
