Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
HILLOCK GREEN,"3,228,000","1,582.31","2,040",Jun-25,LENTOR CENTRAL,New Sale,Strata,147,"21,959",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,21 to 25
HILLOCK GREEN,"2,419,000","1,065.64","2,270",May-25,LENTOR CENTRAL,New Sale,Strata,99,"24,434",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,16 to 20
HILLOCK GREEN,"2,558,000","1,065.64","2,400",May-25,LENTOR CENTRAL,New Sale,Strata,99,"25,838",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,21 to 25
LENTOR MANSION,"3,386,000","1,485.43","2,279",May-25,LENTOR GARDENS,New Sale,Strata,138,"24,536",-,Apartment,1,99 yrs lease commencing from 2023,26,Outside Central Region,11 to 15
LENTORIA,"2,122,000",936.47,"2,266",May-25,LENTOR HILLS ROAD,New Sale,Strata,87,"24,391",-,Condominium,1,99 yrs lease commencing from 2022,26,Outside Central Region,01 to 05
LENTOR MANSION,"3,290,000","1,485.43","2,215",May-25,LENTOR GARDENS,New Sale,Strata,138,"23,841",-,Apartment,1,99 yrs lease commencing from 2023,26,Outside Central Region,11 to 15
HILLOCK GREEN,"1,450,000",624.31,"2,323",May-25,LENTOR CENTRAL,New Sale,Strata,58,"25,000",-,Apartment,1,99 years leasehold,26,Outside Central Region,01 to 05
LENTOR MANSION,"3,244,000","1,485.43","2,184",May-25,LENTOR GARDENS,New Sale,Strata,138,"23,507",-,Apartment,1,99 yrs lease commencing from 2023,26,Outside Central Region,01 to 05
LENTOR MANSION,"2,727,000","1,227.1","2,222",May-25,LENTOR GARDENS,New Sale,Strata,114,"23,921",-,Apartment,1,99 yrs lease commencing from 2023,26,Outside Central Region,01 to 05
LENTOR MANSION,"3,267,000","1,485.43","2,199",May-25,LENTOR GARDENS,New Sale,Strata,138,"23,674",-,Apartment,1,99 yrs lease commencing from 2023,26,Outside Central Region,01 to 05
LENTOR MANSION,"3,306,000","1,506.96","2,194",May-25,LENTOR GARDENS,New Sale,Strata,140,"23,614",-,Apartment,1,99 yrs lease commencing from 2023,26,Outside Central Region,01 to 05
