Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
GUILLEMARD EDGE,"950,000",559.73,"1,697",Jun-25,LORONG 30 GEYLANG,Resale,Strata,52,"18,269",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
SIMS EDGE,"878,000",473.62,"1,854",Jun-25,GEYLANG EAST AVENUE 2,Resale,Strata,44,"19,955",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
NIN RESIDENCE,"2,300,000","1,776.06","1,295",Jun-25,PHENG GECK AVENUE,Resale,Strata,165,"13,939",-,Apartment,1,99 yrs lease commencing from 2010,13,Rest of Central Region,16 to 20
WOODSVILLE 28,"2,418,000","1,399.32","1,728",May-25,WOODSVILLE CLOSE,Resale,Strata,130,"18,600",-,Apartment,1,99 yrs lease commencing from 2007,13,Rest of Central Region,16 to 20
WATERBANK AT DAKOTA,"3,500,000","1,571.54","2,227",May-25,DAKOTA CRESCENT,Resale,Strata,146,"23,973",-,Condominium,1,99 yrs lease commencing from 2009,14,Rest of Central Region,06 to 10
SIMS URBAN OASIS,"1,258,888",710.42,"1,772",May-25,SIMS DRIVE,Resale,Strata,66,"19,074",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,11 to 15
PARK PLACE RESIDENCES AT PLQ,"1,638,000",667.37,"2,454",May-25,PAYA LEBAR ROAD,Resale,Strata,62,"26,419",-,Apartment,1,99 yrs lease commencing from 2015,14,Rest of Central Region,11 to 15
PENROSE,"2,228,000",968.76,"2,300",May-25,SIMS DRIVE,Sub Sale,Strata,90,"24,756",-,Apartment,1,99 yrs lease commencing from 2019,14,Rest of Central Region,16 to 20
DAISY SUITES,"950,000",592.02,"1,605",May-25,DAISY ROAD,Resale,Strata,55,"17,273",-,Apartment,1,Freehold,13,Outside Central Region,01 to 05
IDYLLIC SUITES,"720,000",441.32,"1,631",May-25,LORONG 30 GEYLANG,Resale,Strata,41,"17,561",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
THE WOODLEIGH RESIDENCES,"1,580,000",699.66,"2,258",May-25,BIDADARI PARK DRIVE,Sub Sale,Strata,65,"24,308",-,Apartment,1,99 yrs lease commencing from 2017,13,Rest of Central Region,06 to 10
ASTOR,"1,070,000",861.12,"1,243",May-25,LENGKONG EMPAT,Resale,Strata,80,"13,375",-,Apartment,1,99 yrs lease commencing from 2002,14,Outside Central Region,01 to 05
BARTLEY RIDGE,"2,050,000",968.76,"2,116",May-25,MOUNT VERNON ROAD,Resale,Strata,90,"22,778",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,11 to 15
SENNETT RESIDENCE,"1,900,000",947.23,"2,006",May-25,PHENG GECK AVENUE,Resale,Strata,88,"21,591",-,Condominium,1,99 yrs lease commencing from 2011,13,Rest of Central Region,11 to 15
PARC ESTA,"1,450,000",635.08,"2,283",May-25,SIMS AVENUE,Resale,Strata,59,"24,576",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,06 to 10
VIENTO,"744,888",473.62,"1,573",May-25,LORONG 30 GEYLANG,Resale,Strata,44,"16,929",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
THE TRE VER,"1,428,000",699.66,"2,041",May-25,POTONG PASIR AVENUE 1,Sub Sale,Strata,65,"21,969",-,Condominium,1,99 yrs lease commencing from 2018,13,Rest of Central Region,16 to 20
LA BRISA,"888,000",559.73,"1,586",May-25,LORONG 28 GEYLANG,Resale,Strata,52,"17,077",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
TREASURES@G6,"650,000",409.03,"1,589",May-25,LORONG 6 GEYLANG,Resale,Strata,38,"17,105",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
PARK COLONIAL,"1,420,000",635.08,"2,236",May-25,WOODLEIGH LANE,Resale,Strata,59,"24,068",-,Condominium,1,99 yrs lease commencing from 2017,13,Rest of Central Region,06 to 10
CASA MEYA,"2,150,000","1,194.8","1,799",May-25,MEYAPPA CHETTIAR ROAD,Resale,Strata,111,"19,369",-,Apartment,1,Freehold,13,Rest of Central Region,06 to 10
LE REGAL,"760,000",688.9,"1,103",May-25,GEYLANG ROAD,Resale,Strata,64,"11,875",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
D' CASITA,"1,790,000","1,140.98","1,569",May-25,LORONG MARZUKI,Resale,Strata,106,"16,887",-,Apartment,1,Freehold,14,Outside Central Region,01 to 05
THE WATER EDGE,"750,000",430.56,"1,742",May-25,LORONG 38 GEYLANG,Resale,Strata,40,"18,750",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
THE WATERINA,"1,235,000",710.42,"1,738",May-25,LORONG 40 GEYLANG,Resale,Strata,66,"18,712",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
TRE RESIDENCES,"1,055,000",570.49,"1,849",May-25,GEYLANG EAST AVENUE 1,Resale,Strata,53,"19,906",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,06 to 10
EUHABITAT,"2,030,222","1,302.44","1,559",May-25,JALAN EUNOS,Resale,Strata,121,"16,779",-,Condominium,1,99 yrs lease commencing from 2010,14,Outside Central Region,01 to 05
THE POIZ RESIDENCES,"1,670,000",753.48,"2,216",May-25,MEYAPPA CHETTIAR ROAD,Resale,Strata,70,"23,857",-,Apartment,1,99 yrs lease commencing from 2014,13,Rest of Central Region,11 to 15
PARK COLONIAL,"965,000",462.85,"2,085",May-25,WOODLEIGH LANE,Resale,Strata,43,"22,442",-,Condominium,1,99 yrs lease commencing from 2017,13,Rest of Central Region,01 to 05
THE VENUE RESIDENCES,"2,280,000","1,151.75","1,980",May-25,TAI THONG CRESCENT,Resale,Strata,107,"21,308",-,Apartment,1,99 yrs lease commencing from 2012,13,Rest of Central Region,11 to 15
PARC ESTA,"1,400,000",635.08,"2,204",May-25,SIMS AVENUE,Resale,Strata,59,"23,729",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,01 to 05
NOMA,"760,000",430.56,"1,765",May-25,GUILLEMARD ROAD,Resale,Strata,40,"19,000",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
SIMS URBAN OASIS,"2,050,000","1,033.34","1,984",May-25,SIMS DRIVE,Resale,Strata,96,"21,354",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,01 to 05
D' ALMIRA,"692,000",462.85,"1,495",May-25,SOMMERVILLE ROAD,Resale,Strata,43,"16,093",-,Apartment,1,Freehold,13,Outside Central Region,01 to 05
BARTLEY RIDGE,"813,000",441.32,"1,842",May-25,MOUNT VERNON ROAD,Resale,Strata,41,"19,829",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,06 to 10
PARK COLONIAL,"1,580,000",667.37,"2,368",May-25,WOODLEIGH LANE,Resale,Strata,62,"25,484",-,Condominium,1,99 yrs lease commencing from 2017,13,Rest of Central Region,01 to 05
