Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE RIVERINE BY THE PARK,"4,000,000","1,776.06","2,252",May-25,KALLANG ROAD,Resale,Strata,165,"24,242",-,Apartment,1,Freehold,12,Rest of Central Region,26 to 30
THE ELYSIA,"1,375,000","1,022.58","1,345",May-25,MAR THOMA ROAD,Resale,Strata,95,"14,474",-,Apartment,1,999 yrs lease commencing from 1882,12,Rest of Central Region,01 to 05
THE RIVERINE BY THE PARK,"2,650,000","1,302.44","2,035",May-25,KALLANG ROAD,Resale,Strata,121,"21,901",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
EIGHT RIVERSUITES,"1,838,000",979.52,"1,876",May-25,WHAMPOA EAST,Resale,Strata,91,"20,198",-,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,16 to 20
THE ORIE,"1,485,000",516.67,"2,874",May-25,LORONG 1 TOA PAYOH,New Sale,Strata,48,"30,938",-,Condominium,1,99 yrs lease commencing from 2024,12,Rest of Central Region,21 to 25
GAIA,"1,500,000",914.94,"1,639",May-25,JALAN DUSUN,Resale,Strata,85,"17,647",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
MIRO,"1,750,000","1,065.64","1,642",May-25,LINCOLN ROAD,Resale,Strata,99,"17,677",-,Apartment,1,Freehold,11,Core Central Region,06 to 10
THE ARTE,"3,180,000","1,625.36","1,956",May-25,JALAN RAJA UDANG,Resale,Strata,151,"21,060",-,Condominium,1,Freehold,12,Rest of Central Region,26 to 30
THE ORIE,"3,396,000","1,216.33","2,792",May-25,LORONG 1 TOA PAYOH,New Sale,Strata,113,"30,053",-,Condominium,1,99 yrs lease commencing from 2024,12,Rest of Central Region,36 to 40
PINNACLE 16,"1,016,000",581.26,"1,748",May-25,SHAN ROAD,Resale,Strata,54,"18,815",-,Apartment,1,Freehold,12,Rest of Central Region,01 to 05
NINETEEN SHELFORD ROAD,"1,800,000",861.12,"2,090",May-25,SHELFORD ROAD,Resale,Strata,80,"22,500",-,Condominium,1,Freehold,11,Core Central Region,06 to 10
OLEANDER TOWERS,"1,715,000","1,140.98","1,503",May-25,LORONG 1 TOA PAYOH,Resale,Strata,106,"16,179",-,Apartment,1,99 yrs lease commencing from 1995,12,Rest of Central Region,16 to 20
D' IXORAS,"1,360,000",839.59,"1,620",May-25,MINBU ROAD,Resale,Strata,78,"17,436",-,Apartment,1,Freehold,11,Core Central Region,11 to 15
WATTEN HOUSE,"7,968,000","2,368.08","3,365",May-25,SHELFORD ROAD,New Sale,Strata,220,"36,218",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
EIGHT RIVERSUITES,"1,760,000",979.52,"1,797",May-25,WHAMPOA EAST,Resale,Strata,91,"19,341",-,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,06 to 10
RIO GARDENS,"1,360,000",947.23,"1,436",May-25,JALAN TAMAN,Resale,Strata,88,"15,455",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
32 GILSTEAD,"15,100,000","4,208.72","3,588",May-25,GILSTEAD ROAD,New Sale,Strata,391,"38,619",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
32 GILSTEAD,"15,100,000","4,219.49","3,579",May-25,GILSTEAD ROAD,New Sale,Strata,392,"38,520",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
OLEANDER TOWERS,"1,360,000",893.41,"1,522",May-25,LORONG 1 TOA PAYOH,Resale,Strata,83,"16,386",-,Apartment,1,99 yrs lease commencing from 1995,12,Rest of Central Region,11 to 15
PINNACLE 16,"1,020,000",581.26,"1,755",May-25,SHAN ROAD,Resale,Strata,54,"18,889",-,Apartment,1,Freehold,12,Rest of Central Region,16 to 20
THE GLYNDEBOURNE,"5,525,000","2,669.47","2,070",May-25,TREVOSE CRESCENT,Resale,Strata,248,"22,278",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
