Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
FOUR SEASONS PARK,"7,500,000","2,260.44","3,318",Jun-25,CUSCADEN WALK,Resale,Strata,210,"35,714",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
SCOTTS HIGHPARK,"4,300,000","1,743.77","2,466",Jun-25,SCOTTS ROAD,Resale,Strata,162,"26,543",-,Condominium,1,Freehold,09,Core Central Region,11 to 15
LOFT @ STEVENS,"868,000",376.74,"2,304",Jun-25,STEVENS ROAD,Resale,Strata,35,"24,800",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
CITYVISTA RESIDENCES,"4,130,000","2,120.51","1,948",Jun-25,PECK HAY ROAD,Resale,Strata,197,"20,964",-,Condominium,1,Freehold,09,Core Central Region,01 to 05
HILL HOUSE,"1,399,000",430.56,"3,249",Jun-25,INSTITUTION HILL,New Sale,Strata,40,"34,975",-,Apartment,1,999 years leasehold,09,Core Central Region,06 to 10
21 ANDERSON,"9,500,000","3,196.91","2,972",May-25,ANDERSON ROAD,New Sale,Strata,297,"31,987",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
RESIDENTIAL APARTMENTS,"3,100,000","1,711.48","1,811",May-25,OXLEY GARDEN,Resale,Strata,159,"19,497",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
RESIDENTIAL APARTMENTS,"3,900,000","1,506.96","2,588",May-25,DRAYCOTT DRIVE,Resale,Strata,140,"27,857",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
GRANGE 1866,"2,296,000",710.42,"3,232",May-25,GRANGE ROAD,New Sale,Strata,66,"34,788",-,Apartment,1,Freehold,10,Core Central Region,11 to 15
UP@ROBERTSON QUAY,"1,176,000",570.49,"2,061",May-25,ROBERTSON QUAY,Resale,Strata,53,"22,189",-,Apartment,1,99 yrs lease commencing from 2011,09,Core Central Region,06 to 10
THE MKZ,"990,000",602.78,"1,642",May-25,MACKENZIE ROAD,Resale,Strata,56,"17,679",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
UE SQUARE,"3,460,000","1,560.78","2,217",May-25,RIVER VALLEY ROAD,Resale,Strata,145,"23,862",-,Apartment,1,929 yrs lease commencing from 1953,09,Core Central Region,11 to 15
