Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE INFINITI,"1,570,000",914.94,"1,716",Jun-25,WEST COAST PARK,Resale,Strata,85,"18,471",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
BLOOMSBURY RESIDENCES,"1,763,000",688.9,"2,559",Jun-25,MEDIA CIRCLE,New Sale,Strata,64,"27,547",-,Apartment,1,99 yrs lease commencing from 2024,05,Rest of Central Region,06 to 10
THE HILL @ONE-NORTH,"1,932,850",775.01,"2,494",May-25,SLIM BARRACKS RISE,New Sale,Strata,72,"26,845",-,Apartment,1,99 yrs lease commencing from 2022,05,Rest of Central Region,06 to 10
NORMANTON PARK,"1,996,000",936.47,"2,131",May-25,NORMANTON PARK,Sub Sale,Strata,87,"22,943",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,11 to 15
BLOOMSBURY RESIDENCES,"1,452,000",570.49,"2,545",May-25,MEDIA CIRCLE,New Sale,Strata,53,"27,396",-,Apartment,1,99 yrs lease commencing from 2024,05,Rest of Central Region,16 to 20
WHITEHAVEN,"1,023,000",538.2,"1,901",May-25,PASIR PANJANG ROAD,Resale,Strata,50,"20,460",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
WHISTLER GRAND,"830,000",441.32,"1,881",May-25,WEST COAST VALE,Resale,Strata,41,"20,244",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,16 to 20
PARC CLEMATIS,"1,975,000",893.41,"2,211",May-25,JALAN LEMPENG,Resale,Strata,83,"23,795",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
THE ORIENT,"1,350,000",667.37,"2,023",May-25,PASIR PANJANG ROAD,Resale,Strata,62,"21,774",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
THE HILL @ONE-NORTH,"2,629,000","1,194.8","2,200",May-25,SLIM BARRACKS RISE,New Sale,Strata,111,"23,685",-,Apartment,1,99 yrs lease commencing from 2022,05,Rest of Central Region,11 to 15
THE CLEMENT CANOPY,"1,210,000",635.08,"1,905",May-25,CLEMENTI AVENUE 1,Resale,Strata,59,"20,508",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,11 to 15
PASIR PANJANG COURT,"1,900,000","1,334.74","1,424",May-25,PASIR PANJANG CLOSE,Resale,Strata,124,"15,323",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
BLOOMSBURY RESIDENCES,"1,455,000",570.49,"2,550",May-25,MEDIA CIRCLE,New Sale,Strata,53,"27,453",-,Apartment,1,99 yrs lease commencing from 2024,05,Rest of Central Region,16 to 20
BLOOMSBURY RESIDENCES,"1,643,000",678.13,"2,423",May-25,MEDIA CIRCLE,New Sale,Strata,63,"26,079",-,Apartment,1,99 yrs lease commencing from 2024,05,Rest of Central Region,06 to 10
