Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE LINQ @ BEAUTY WORLD,"1,870,000",667.37,"2,802",Jun-25,UPPER BUKIT TIMAH ROAD,Sub Sale,Strata,62,"30,161",-,Apartment,1,Freehold,21,Rest of Central Region,06 to 10
SIGNATURE PARK,"1,740,000","1,044.11","1,666",Jun-25,TOH TUCK ROAD,Resale,Strata,97,"17,938",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
PINETREE HILL,"3,224,000","1,291.68","2,496",Jun-25,PINE GROVE,New Sale,Strata,120,"26,867",-,Condominium,1,99 yrs lease commencing from 2022,21,Rest of Central Region,01 to 05
NAVA GROVE,"2,127,900",785.77,"2,708",Jun-25,PINE GROVE,New Sale,Strata,73,"29,149",-,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,16 to 20
NAVA GROVE,"3,289,000","1,334.74","2,464",Jun-25,PINE GROVE,New Sale,Strata,124,"26,524",-,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,11 to 15
NAVA GROVE,"3,301,600","1,334.74","2,474",Jun-25,PINE GROVE,New Sale,Strata,124,"26,626",-,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,16 to 20
NAVA GROVE,"2,832,400","1,108.69","2,555",Jun-25,PINE GROVE,New Sale,Strata,103,"27,499",-,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,16 to 20
NAVA GROVE,"3,881,100","1,550.02","2,504",Jun-25,PINE GROVE,New Sale,Strata,144,"26,952",-,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,11 to 15
NAVA GROVE,"2,821,800","1,108.69","2,545",May-25,PINE GROVE,New Sale,Strata,103,"27,396",-,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,16 to 20
NAVA GROVE,"2,853,700","1,108.69","2,574",May-25,PINE GROVE,New Sale,Strata,103,"27,706",-,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,21 to 25
NAVA GROVE,"2,513,700",947.23,"2,654",May-25,PINE GROVE,New Sale,Strata,88,"28,565",-,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,16 to 20
THE LAKEGARDEN RESIDENCES,"2,480,000","1,097.93","2,259",May-25,YUAN CHING ROAD,New Sale,Strata,102,"24,314",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,11 to 15
PANDAN VALLEY,"2,800,000","1,668.42","1,678",May-25,PANDAN VALLEY,Resale,Strata,155,"18,065",-,Condominium,1,Freehold,21,Rest of Central Region,06 to 10
PINETREE HILL,"3,461,000","1,291.68","2,679",May-25,PINE GROVE,New Sale,Strata,120,"28,842",-,Condominium,1,99 yrs lease commencing from 2022,21,Rest of Central Region,16 to 20
NAVA GROVE,"3,741,600","1,550.02","2,414",May-25,PINE GROVE,New Sale,Strata,144,"25,983",-,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,01 to 05
THE HILLSIDE,"2,200,000","1,313.21","1,675",May-25,UPPER BUKIT TIMAH ROAD,Resale,Strata,122,"18,033",-,Condominium,1,Freehold,21,Outside Central Region,01 to 05
PINETREE HILL,"4,723,000","1,733","2,725",May-25,PINE GROVE,New Sale,Strata,161,"29,335",-,Condominium,1,99 yrs lease commencing from 2022,21,Rest of Central Region,16 to 20
FORETT@BUKIT TIMAH,"3,150,000","1,280.92","2,459",May-25,TOH TUCK ROAD,Resale,Strata,119,"26,471",-,Apartment,1,Freehold,21,Rest of Central Region,01 to 05
NAVA GROVE,"2,535,300",947.23,"2,677",May-25,PINE GROVE,New Sale,Strata,88,"28,810",-,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,21 to 25
