Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
ONE PEARL BANK,"2,970,000","1,184.04","2,508",Jun-25,PEARL BANK,Sub Sale,Strata,110,"27,000",-,Apartment,1,99 yrs lease commencing from 2019,03,Rest of Central Region,06 to 10
THE CONTINUUM,"3,098,000","1,065.64","2,907",Jun-25,THIAM SIEW AVENUE,New Sale,Strata,99,"31,293",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
MILL POINT,"2,188,000",914.94,"2,391",Jun-25,ZION CLOSE,Resale,Strata,85,"25,741",-,Apartment,1,999 yrs lease commencing from 1877,10,Core Central Region,11 to 15
CASA CAMBIO,"863,888",495.14,"1,745",Jun-25,LIM TUA TOW ROAD,Resale,Strata,46,"18,780",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
THE HILL @ONE-NORTH,"1,876,476",753.48,"2,490",Jun-25,SLIM BARRACKS RISE,New Sale,Strata,70,"26,807",-,Apartment,1,99 yrs lease commencing from 2022,05,Rest of Central Region,06 to 10
THE CITRINE,"1,620,000",958,"1,691",Jun-25,JALAN DATOH,Resale,Strata,89,"18,202",-,Apartment,1,Freehold,12,Rest of Central Region,16 to 20
THE SAIL @ MARINA BAY,"1,165,000",592.02,"1,968",Jun-25,MARINA BOULEVARD,Resale,Strata,55,"21,182",-,Apartment,1,99 yrs lease commencing from 2002,01,Core Central Region,16 to 20
J'DEN,"3,000,000","1,184.04","2,534",Jun-25,JURONG EAST CENTRAL 1,New Sale,Strata,110,"27,273",-,Apartment,1,99 years leasehold,22,Outside Central Region,31 to 35
AFFINITY AT SERANGOON,"847,500",473.62,"1,789",Jun-25,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,44,"19,261",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
MARINA ONE RESIDENCES,"2,000,000","1,054.87","1,896",Jun-25,MARINA WAY,Resale,Strata,98,"20,408",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,16 to 20
CHUAN PARK,"2,024,900",731.95,"2,766",Jun-25,LORONG CHUAN,New Sale,Strata,68,"29,778",-,Condominium,1,99 yrs lease commencing from 2024,19,Outside Central Region,16 to 20
WOODSVILLE 28,"2,150,000","1,194.8","1,799",Jun-25,WOODSVILLE CLOSE,Resale,Strata,111,"19,369",-,Apartment,1,99 yrs lease commencing from 2007,13,Rest of Central Region,06 to 10
HILLOCK GREEN,"1,694,000",710.42,"2,384",Jun-25,LENTOR CENTRAL,New Sale,Strata,66,"25,667",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,16 to 20
SYMPHONY SUITES,"1,180,000",893.41,"1,321",Jun-25,YISHUN CLOSE,Resale,Strata,83,"14,217",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,06 to 10
BELLE VUE RESIDENCES,"3,088,000","1,377.79","2,241",Jun-25,OXLEY WALK,Resale,Strata,128,"24,125",-,Condominium,1,Freehold,09,Core Central Region,01 to 05
LENTORIA,"2,952,000","1,205.57","2,449",Jun-25,LENTOR HILLS ROAD,New Sale,Strata,112,"26,357",-,Condominium,1,99 yrs lease commencing from 2022,26,Outside Central Region,16 to 20
CUBE 8,"1,800,000",925.7,"1,944",Jun-25,THOMSON ROAD,Resale,Strata,86,"20,930",-,Condominium,1,Freehold,11,Core Central Region,16 to 20
NAVA GROVE,"3,307,300","1,334.74","2,478",Jun-25,PINE GROVE,New Sale,Strata,124,"26,672",-,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,06 to 10
ESPADA,"900,000",376.74,"2,389",Jun-25,ST. THOMAS WALK,Resale,Strata,35,"25,714",-,Apartment,1,Freehold,09,Core Central Region,16 to 20
ONE MARINA GARDENS,"1,993,510",678.13,"2,940",Jun-25,MARINA GARDENS LANE,New Sale,Strata,63,"31,643",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,06 to 10
CHANGI GREEN,"1,620,000","1,216.33","1,332",Jun-25,UPPER CHANGI ROAD EAST,Resale,Strata,113,"14,336",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
8@BT,"2,180,000",731.95,"2,978",Jun-25,BUKIT TIMAH LINK,New Sale,Strata,68,"32,059",-,Condominium,1,99 yrs lease commencing from 2023,21,Rest of Central Region,16 to 20
EDELWEISS PARK CONDOMINIUM,"1,700,000","1,453.14","1,170",Jun-25,FLORA ROAD,Resale,Strata,135,"12,593",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
KINGSFORD . HILLVIEW PEAK,"1,224,200",850.36,"1,440",Jun-25,HILLVIEW RISE,Resale,Strata,79,"15,496",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,06 to 10
