Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THOMSON IMPERIAL COURT,"1,588,888","1,097.93","1,447",Jun-25,UPPER THOMSON ROAD,Resale,Strata,102,"15,577",-,Apartment,1,Freehold,20,Rest of Central Region,01 to 05
EVERGREEN PARK,"1,145,000","1,022.58","1,120",Jun-25,HOUGANG AVENUE 7,Resale,Strata,95,"12,053",-,Apartment,1,99 yrs lease commencing from 1995,19,Outside Central Region,11 to 15
STARS OF KOVAN,"1,510,000",796.54,"1,896",Jun-25,UPPER SERANGOON ROAD,Resale,Strata,74,"20,405",-,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,16 to 20
THE WATERLINE,"1,275,000",882.65,"1,445",May-25,POH HUAT ROAD WEST,Resale,Strata,82,"15,549",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
BARTLEY RESIDENCES,"1,850,000","1,065.64","1,736",May-25,LORONG HOW SUN,Resale,Strata,99,"18,687",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
THE PANORAMA,"2,080,000","1,011.82","2,056",May-25,ANG MO KIO AVENUE 2,Resale,Strata,94,"22,128",-,Condominium,1,99 yrs lease commencing from 2013,20,Outside Central Region,06 to 10
KOVAN CREST,"1,760,000","1,291.68","1,363",May-25,KOVAN ROAD,Resale,Strata,120,"14,667",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
THE MINTON,"1,430,000",979.52,"1,460",May-25,HOUGANG STREET 11,Resale,Strata,91,"15,714",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,06 to 10
THOMSON GRAND,"1,690,000",947.23,"1,784",May-25,SIN MING WALK,Resale,Strata,88,"19,205",-,Condominium,1,99 yrs lease commencing from 2010,20,Rest of Central Region,06 to 10
BARTLEY RESIDENCES,"1,400,000",796.54,"1,758",May-25,LORONG HOW SUN,Resale,Strata,74,"18,919",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,16 to 20
TANGERINE GROVE,"2,200,000","1,237.86","1,777",May-25,PAYA LEBAR CRESCENT,Resale,Strata,115,"19,130",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
THE TEMBUSU,"2,310,888","1,216.33","1,900",May-25,TAMPINES ROAD,Resale,Strata,113,"20,450",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
THE LUXURIE,"1,860,000","1,248.62","1,490",May-25,COMPASSVALE ROAD,Resale,Strata,116,"16,034",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
KOVAN RESIDENCES,"4,399,000","4,746.92",927,May-25,KOVAN ROAD,Resale,Strata,441,"9,975",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,16 to 20
CHERRYHILL,"2,450,000","1,453.14","1,686",May-25,LORONG LEW LIAN,Resale,Strata,135,"18,148",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
JEWEL @ BUANGKOK,"3,100,000","1,700.71","1,823",May-25,COMPASSVALE BOW,Resale,Strata,158,"19,620",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,16 to 20
KINGSFORD WATERBAY,"1,488,000","1,033.34","1,440",May-25,UPPER SERANGOON VIEW,Resale,Strata,96,"15,500",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
FIORENZA,"2,220,000","1,485.43","1,495",May-25,FLORENCE ROAD,Resale,Strata,138,"16,087",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
SENGKANG GRAND RESIDENCES,"988,000",495.14,"1,995",May-25,COMPASSVALE BOW,Sub Sale,Strata,46,"21,478",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
FOREST WOODS,"1,480,000",721.19,"2,052",May-25,LORONG LEW LIAN,Resale,Strata,67,"22,090",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,01 to 05
TANGERINE GROVE,"2,308,888","1,367.03","1,689",May-25,PAYA LEBAR CRESCENT,Resale,Strata,127,"18,180",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
THE BENTLY RESIDENCES@KOVAN,"1,860,000","1,130.22","1,646",May-25,KOVAN ROAD,Resale,Strata,105,"17,714",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
