Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
CITY SQUARE RESIDENCES,"1,185,000",570.49,"2,077",Jun-25,KITCHENER LINK,Resale,Strata,53,"22,358",-,Condominium,1,Freehold,08,Rest of Central Region,21 to 25
CAMBRIDGE VILLAGE,"2,200,000","1,550.02","1,419",May-25,CAMBRIDGE ROAD,Resale,Strata,144,"15,278",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
CITYLIGHTS,"1,900,000",925.7,"2,052",May-25,JELLICOE ROAD,Resale,Strata,86,"22,093",-,Condominium,1,99 yrs lease commencing from 2004,08,Rest of Central Region,26 to 30
THE M,"2,000,000",742.72,"2,693",May-25,MIDDLE ROAD,Resale,Strata,69,"28,986",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,11 to 15
KERRISDALE,"2,150,000","1,270.15","1,693",May-25,STURDEE ROAD,Resale,Strata,118,"18,220",-,Condominium,1,99 yrs lease commencing from 1998,08,Rest of Central Region,21 to 25
SOUTHBANK,"1,128,000",592.02,"1,905",May-25,NORTH BRIDGE ROAD,Resale,Strata,55,"20,509",-,Apartment,1,99 yrs lease commencing from 2006,07,Rest of Central Region,16 to 20
CAVAN SUITES,"820,000",462.85,"1,772",May-25,CAVAN ROAD,Resale,Strata,43,"19,070",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
SOUTHBANK,"1,750,000",904.18,"1,935",May-25,NORTH BRIDGE ROAD,Resale,Strata,84,"20,833",-,Apartment,1,99 yrs lease commencing from 2006,07,Rest of Central Region,26 to 30
CITY GATE,"1,700,000",807.3,"2,106",May-25,BEACH ROAD,Resale,Strata,75,"22,667",-,Apartment,1,99 yrs lease commencing from 2014,07,Rest of Central Region,26 to 30
STURDEE RESIDENCES,"1,740,000",828.83,"2,099",May-25,BEATTY ROAD,Resale,Strata,77,"22,597",-,Condominium,1,99 yrs lease commencing from 2015,08,Rest of Central Region,21 to 25
OXFORD SUITES,"1,550,000",893.41,"1,735",May-25,OXFORD ROAD,Resale,Strata,83,"18,675",-,Apartment,1,Freehold,08,Rest of Central Region,11 to 15
TEXTILE CENTRE,"1,180,000",914.94,"1,290",May-25,JALAN SULTAN,Resale,Strata,85,"13,882",-,Apartment,1,99 yrs lease commencing from 1970,07,Rest of Central Region,11 to 15
RACE COURSE 138,"1,500,008","1,442.38","1,040",May-25,RACE COURSE ROAD,Resale,Strata,134,"11,194",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
THE M,"2,088,000",764.24,"2,732",May-25,MIDDLE ROAD,Resale,Strata,71,"29,408",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,11 to 15
