Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
COSTA RHU,"2,825,000","1,646.89","1,715",Jun-25,RHU CROSS,Resale,Strata,153,"18,464",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10
LAGUNA PARK,"1,870,000","1,453.14","1,287",Jun-25,MARINE PARADE ROAD,Resale,Strata,135,"13,852",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,16 to 20
CRESCENDO PARK,"1,470,000",850.36,"1,729",Jun-25,JALAN TUA KONG,Resale,Strata,79,"18,608",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
URBAN VISTA,"930,000",861.12,"1,080",Jun-25,TANAH MERAH KECHIL LINK,Resale,Strata,80,"11,625",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15
WATER PLACE,"2,250,000","1,227.1","1,834",Jun-25,TANJONG RHU ROAD,Resale,Strata,114,"19,737",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,11 to 15
FERNWOOD TOWERS,"2,150,000","1,194.8","1,799",Jun-25,FERNWOOD TERRACE,Resale,Strata,111,"19,369",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
OPTIMA @ TANAH MERAH,"3,600,000","2,960.1","1,216",Jun-25,TANAH MERAH KECHIL AVENUE,Resale,Strata,275,"13,091",-,Condominium,1,99 yrs lease commencing from 2008,16,Outside Central Region,11 to 15
GRAND DUNMAN,"2,882,000","1,237.86","2,328",May-25,DUNMAN ROAD,New Sale,Strata,115,"25,061",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,16 to 20
SCENECA RESIDENCE,"2,428,000","1,162.51","2,089",May-25,TANAH MERAH KECHIL LINK,New Sale,Strata,108,"22,481",-,Apartment,1,99 yrs lease commencing from 2021,16,Outside Central Region,01 to 05
SERAYA RESIDENCES,"2,145,000","1,130.22","1,898",May-25,SERAYA LANE,Resale,Strata,105,"20,429",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
RESIDENTIAL APARTMENTS,"1,950,000",893.41,"2,183",May-25,CHAPEL CLOSE,Resale,Strata,83,"23,494",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
BAYSHORE PARK,"808,000",624.31,"1,294",May-25,BAYSHORE ROAD,Resale,Strata,58,"13,931",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,01 to 05
COSTA RHU,"2,150,000","1,345.5","1,598",May-25,RHU CROSS,Resale,Strata,125,"17,200",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10
KEW GREEN,"2,900,000","3,078.5",942,May-25,KEW CRESCENT,Resale,Strata,286,"10,140",-,Condominium,1,99 yrs lease commencing from 1994,16,Outside Central Region,-
THE CAPE,"1,190,000",581.26,"2,047",May-25,AMBER ROAD,Resale,Strata,54,"22,037",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
SPRING @ LANGSAT,"1,468,000",893.41,"1,643",May-25,LANGSAT ROAD,Resale,Strata,83,"17,687",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
WATER PLACE,"2,128,000","1,216.33","1,750",May-25,TANJONG RHU ROAD,Resale,Strata,113,"18,832",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,06 to 10
WATER PLACE,"2,150,000","1,216.33","1,768",May-25,TANJONG RHU ROAD,Resale,Strata,113,"19,027",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,01 to 05
THE VIEW @ MEYER,"4,056,000","1,689.95","2,400",May-25,MEYER ROAD,Resale,Strata,157,"25,834",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
TEMBUSU GRAND,"4,160,000","1,711.48","2,431",May-25,JALAN TEMBUSU,New Sale,Strata,159,"26,164",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,11 to 15
MANDARIN GARDENS,"1,785,000","1,571.54","1,136",May-25,SIGLAP ROAD,Resale,Strata,146,"12,226",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,06 to 10
BAYWATER,"2,550,000","2,281.97","1,117",May-25,BEDOK RESERVOIR ROAD,Resale,Strata,212,"12,028",-,Condominium,1,99 yrs lease commencing from 2001,16,Outside Central Region,16 to 20
OPTIMA @ TANAH MERAH,"1,310,000",871.88,"1,502",May-25,TANAH MERAH KECHIL AVENUE,Resale,Strata,81,"16,173",-,Condominium,1,99 yrs lease commencing from 2008,16,Outside Central Region,01 to 05
SIGLAP V,"850,000",516.67,"1,645",May-25,FIRST STREET,Resale,Strata,48,"17,708",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
GRAND DUNMAN,"1,992,000",667.37,"2,985",May-25,DUNMAN ROAD,New Sale,Strata,62,"32,129",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,16 to 20
GRAND DUNMAN,"3,023,000","1,119.46","2,700",May-25,DUNMAN ROAD,New Sale,Strata,104,"29,067",-,Apartment,1,99 yrs lease commencing from 2022,15,Rest of Central Region,01 to 05
