Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE TAPESTRY,"2,180,000","1,345.5","1,620",Jun-25,TAMPINES STREET 86,Resale,Strata,125,"17,440",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,11 to 15
PARKTOWN RESIDENCE,"3,051,000","1,334.74","2,286",Jun-25,TAMPINES STREET 62,New Sale,Strata,124,"24,605",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,01 to 05
PASIR RIS 8,"1,590,000",775.01,"2,052",May-25,PASIR RIS DRIVE 8,Sub Sale,Strata,72,"22,083",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,11 to 15
DOUBLE BAY RESIDENCES,"1,935,000","1,367.03","1,415",May-25,SIMEI STREET 4,Resale,Strata,127,"15,236",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
THE TAPESTRY,"1,900,000","1,130.22","1,681",May-25,TAMPINES STREET 86,Resale,Strata,105,"18,095",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,01 to 05
PALM ISLES,"725,000",559.73,"1,295",May-25,FLORA DRIVE,Resale,Strata,52,"13,942",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,01 to 05
THE TAPESTRY,"1,172,000",688.9,"1,701",May-25,TAMPINES STREET 86,Resale,Strata,64,"18,313",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,06 to 10
THE TAPESTRY,"1,950,800","1,130.22","1,726",May-25,TAMPINES STREET 86,Resale,Strata,105,"18,579",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,11 to 15
EASTPOINT GREEN,"1,298,000","1,140.98","1,138",May-25,SIMEI STREET 3,Resale,Strata,106,"12,245",-,Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,01 to 05
THE SHOREFRONT,"1,516,000",775.01,"1,956",May-25,JALAN LOYANG BESAR,New Sale,Strata,72,"21,056",-,Apartment,1,999 yrs lease commencing from 1937,17,Outside Central Region,01 to 05
STRATUM,"660,000",452.09,"1,460",May-25,ELIAS ROAD,Resale,Strata,42,"15,714",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05
DOUBLE BAY RESIDENCES,"735,000",538.2,"1,366",May-25,SIMEI STREET 4,Resale,Strata,50,"14,700",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,910,000","1,011.82","1,888",May-25,TAMPINES LANE,Resale,Strata,94,"20,319",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
PARC OLYMPIA,"1,185,000",990.29,"1,197",May-25,FLORA DRIVE,Resale,Strata,92,"12,880",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
EDELWEISS PARK CONDOMINIUM,"1,218,000","1,054.87","1,155",May-25,FLORA ROAD,Resale,Strata,98,"12,429",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
RIZ HAVEN,"713,000",570.49,"1,250",May-25,JALAN LOYANG BESAR,Resale,Strata,53,"13,453",-,Apartment,1,946 yrs lease commencing from 1938,17,Outside Central Region,01 to 05
MELVILLE PARK,"860,000",958,898,May-25,SIMEI STREET 1,Resale,Strata,89,"9,663",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"1,225,000",505.91,"2,421",May-25,TAMPINES STREET 62,New Sale,Strata,47,"26,064",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,06 to 10
TREASURE AT TAMPINES,"2,458,888","1,323.97","1,857",May-25,TAMPINES LANE,Resale,Strata,123,"19,991",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
MELVILLE PARK,"1,399,000","1,474.67",949,May-25,SIMEI STREET 1,Resale,Strata,137,"10,212",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"3,253,000","1,356.26","2,399",May-25,TAMPINES STREET 62,New Sale,Strata,126,"25,817",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,11 to 15
THE TAPESTRY,"750,000",441.32,"1,699",May-25,TAMPINES STREET 86,Resale,Strata,41,"18,293",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,11 to 15
THE ALPS RESIDENCES,"1,430,000",936.47,"1,527",May-25,TAMPINES STREET 86,Resale,Strata,87,"16,437",-,Condominium,1,99 yrs lease commencing from 2015,18,Outside Central Region,01 to 05
D'NEST,"1,760,000","1,130.22","1,557",May-25,PASIR RIS GROVE,Resale,Strata,105,"16,762",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,11 to 15
THE JOVELL,"812,000",527.44,"1,540",May-25,FLORA DRIVE,Resale,Strata,49,"16,571",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,01 to 05
COCO PALMS,"2,068,000","1,259.39","1,642",May-25,PASIR RIS GROVE,Resale,Strata,117,"17,675",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,06 to 10
BALLOTA PARK CONDOMINIUM,"1,101,000","1,065.64","1,033",May-25,MARIAM WAY,Resale,Strata,99,"11,121",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
BLUWATERS,"1,020,000",818.06,"1,247",May-25,JALAN LOYANG BESAR,Resale,Strata,76,"13,421",-,Apartment,1,946 yrs lease commencing from 1938,17,Outside Central Region,01 to 05
MY MANHATTAN,"1,350,000",882.65,"1,529",May-25,SIMEI STREET 3,Resale,Strata,82,"16,463",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05
THE TAPESTRY,"800,000",473.62,"1,689",May-25,TAMPINES STREET 86,Resale,Strata,44,"18,182",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,06 to 10
PASIR RIS 8,"2,200,000","1,054.87","2,086",May-25,PASIR RIS DRIVE 8,Sub Sale,Strata,98,"22,449",-,Apartment,1,99 yrs lease commencing from 2021,18,Outside Central Region,01 to 05
BALLOTA PARK CONDOMINIUM,"1,530,000","1,431.61","1,069",May-25,MARIAM WAY,Resale,Strata,133,"11,504",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
RIPPLE BAY,"1,222,000",764.24,"1,599",May-25,PASIR RIS LINK,Resale,Strata,71,"17,211",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
DOUBLE BAY RESIDENCES,"1,950,000","1,367.03","1,426",May-25,SIMEI STREET 4,Resale,Strata,127,"15,354",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
Q BAY RESIDENCES,"1,129,888",796.54,"1,419",May-25,TAMPINES STREET 86,Resale,Strata,74,"15,269",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,06 to 10
THE INFLORA,"1,040,000",818.06,"1,271",May-25,FLORA DRIVE,Resale,Strata,76,"13,684",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
PARC OLYMPIA,"980,000",796.54,"1,230",May-25,FLORA DRIVE,Resale,Strata,74,"13,243",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"2,879,000","1,334.74","2,157",May-25,TAMPINES STREET 62,New Sale,Strata,124,"23,218",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,01 to 05
PALM ISLES,"975,000",807.3,"1,208",May-25,FLORA DRIVE,Resale,Strata,75,"13,000",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,06 to 10
CHANGI RISE CONDOMINIUM,"1,660,000","1,496.2","1,109",May-25,SIMEI RISE,Resale,Strata,139,"11,942",-,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,06 to 10
BALLOTA PARK CONDOMINIUM,"1,060,000","1,011.82","1,048",May-25,MARIAM WAY,Resale,Strata,94,"11,277",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
NV RESIDENCES,"1,210,000",904.18,"1,338",May-25,PASIR RIS GROVE,Resale,Strata,84,"14,405",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
HEDGES PARK CONDOMINIUM,"1,112,500",871.88,"1,276",May-25,FLORA DRIVE,Resale,Strata,81,"13,735",-,Condominium,1,99 yrs lease commencing from 2010,17,Outside Central Region,06 to 10
Q BAY RESIDENCES,"1,250,000",828.83,"1,508",May-25,TAMPINES STREET 86,Resale,Strata,77,"16,234",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,11 to 15
VUE 8 RESIDENCE,"1,850,000","1,345.5","1,375",May-25,PASIR RIS HEIGHTS,Resale,Strata,125,"14,800",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05
FERRARIA PARK CONDOMINIUM,"1,632,000","1,248.62","1,307",May-25,FLORA DRIVE,Resale,Strata,116,"14,069",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
TREASURE AT TAMPINES,"1,600,000",882.65,"1,813",May-25,TAMPINES LANE,Resale,Strata,82,"19,512",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
DAHLIA PARK CONDOMINIUM,"1,428,888","1,270.15","1,125",May-25,FLORA DRIVE,Resale,Strata,118,"12,109",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
Q BAY RESIDENCES,"1,690,800","1,162.51","1,454",May-25,TAMPINES STREET 86,Resale,Strata,108,"15,656",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,018,000",581.26,"1,751",May-25,TAMPINES LANE,Resale,Strata,54,"18,852",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
MELVILLE PARK,"1,238,000","1,399.32",885,May-25,SIMEI STREET 1,Resale,Strata,130,"9,523",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,06 to 10
LOYANG VALLEY,"1,900,000","1,980.58",959,May-25,LOYANG AVENUE,Resale,Strata,184,"10,326",-,Condominium,1,99 yrs lease commencing from 1982,17,Outside Central Region,01 to 05
PARC KOMO,"795,000",473.62,"1,679",May-25,UPPER CHANGI ROAD NORTH,Resale,Strata,44,"18,068",-,Apartment,1,Freehold,17,Outside Central Region,01 to 05
THE PALETTE,"1,120,000",742.72,"1,508",May-25,PASIR RIS GROVE,Resale,Strata,69,"16,232",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,198,888",678.13,"1,768",May-25,TAMPINES LANE,Resale,Strata,63,"19,030",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05
PARKTOWN RESIDENCE,"1,268,000",505.91,"2,506",May-25,TAMPINES STREET 62,New Sale,Strata,47,"26,979",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,11 to 15
D'NEST,"1,618,888","1,130.22","1,432",May-25,PASIR RIS GROVE,Resale,Strata,105,"15,418",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05
AZALEA PARK CONDOMINIUM,"1,725,000","1,506.96","1,145",May-25,FLORA ROAD,Resale,Strata,140,"12,321",-,Condominium,1,999 yrs lease commencing from 1885,17,Outside Central Region,01 to 05
COCO PALMS,"1,600,888",904.18,"1,771",May-25,PASIR RIS GROVE,Resale,Strata,84,"19,058",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,11 to 15
TREASURE AT TAMPINES,"2,310,000","1,237.86","1,866",May-25,TAMPINES LANE,Resale,Strata,115,"20,087",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
THE TAPESTRY,"730,000",441.32,"1,654",May-25,TAMPINES STREET 86,Resale,Strata,41,"17,805",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,01 to 05
RIZ HAVEN,"1,300,000","1,065.64","1,220",May-25,JALAN LOYANG BESAR,Resale,Strata,99,"13,131",-,Apartment,1,946 yrs lease commencing from 1938,17,Outside Central Region,01 to 05
THE ALPS RESIDENCES,"1,040,000",699.66,"1,486",May-25,TAMPINES STREET 86,Resale,Strata,65,"16,000",-,Condominium,1,99 yrs lease commencing from 2015,18,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,305,000",656.6,"1,987",May-25,TAMPINES LANE,Resale,Strata,61,"21,393",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
PARKTOWN RESIDENCE,"2,224,000",947.23,"2,348",May-25,TAMPINES STREET 62,New Sale,Strata,88,"25,273",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,06 to 10
TREASURE AT TAMPINES,"2,216,800","1,237.86","1,791",May-25,TAMPINES LANE,Resale,Strata,115,"19,277",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05
THE TAPESTRY,"1,700,000","1,130.22","1,504",May-25,TAMPINES STREET 86,Resale,Strata,105,"16,190",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,180,000",656.6,"1,797",May-25,TAMPINES LANE,Resale,Strata,61,"19,344",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
D'NEST,"1,070,000",753.48,"1,420",May-25,PASIR RIS GROVE,Resale,Strata,70,"15,286",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
KASSIA,"1,895,000",904.18,"2,096",May-25,FLORA DRIVE,New Sale,Strata,84,"22,560",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
PARKTOWN RESIDENCE,"1,262,000",505.91,"2,495",May-25,TAMPINES STREET 62,New Sale,Strata,47,"26,851",-,Apartment,1,99 yrs lease commencing from 2023,18,Outside Central Region,11 to 15
THE PALETTE,"1,350,000",893.41,"1,511",May-25,PASIR RIS GROVE,Resale,Strata,83,"16,265",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05
THE TAPESTRY,"1,068,000",602.78,"1,772",May-25,TAMPINES STREET 86,Resale,Strata,56,"19,071",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,06 to 10
