Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE FLORENCE RESIDENCES,"2,547,000","1,679.18","1,517",Aug-21,HOUGANG AVENUE 2,New Sale,Strata,156,"16,327",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE SCALA,"1,600,000","1,044.11","1,532",Aug-21,SERANGOON AVENUE 3,Resale,Strata,97,"16,495",-,Apartment,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
RIO VISTA,"820,000","1,065.64",769,Aug-21,UPPER SERANGOON VIEW,Resale,Strata,99,"8,283",-,Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,11 to 15
VIBES@UPPER SERANGOON,"615,000",441.32,"1,394",Aug-21,UPPER SERANGOON ROAD,Resale,Strata,41,"15,000",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
WATERTOWN,"780,000",581.26,"1,342",Aug-21,PUNGGOL CENTRAL,Resale,Strata,54,"14,444",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
GLASGOW RESIDENCE,"565,000",419.8,"1,346",Aug-21,GLASGOW ROAD,Resale,Strata,39,"14,487",-,Apartment,1,999 yrs lease commencing from 1886,19,Outside Central Region,01 to 05
EVERGREEN PARK,"1,080,000","1,367.03",790,Aug-21,HOUGANG AVENUE 7,Resale,Strata,127,"8,504",-,Apartment,1,99 yrs lease commencing from 1995,19,Outside Central Region,11 to 15
CLOVER BY THE PARK,"1,840,000","1,216.33","1,513",Aug-21,BISHAN STREET 25,Resale,Strata,113,"16,283",-,Condominium,1,99 yrs lease commencing from 2007,20,Rest of Central Region,26 to 30
WATERTOWN,"800,000",602.78,"1,327",Aug-21,PUNGGOL CENTRAL,Resale,Strata,56,"14,286",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
FLO RESIDENCE,"980,000","1,011.82",969,Aug-21,PUNGGOL FIELD WALK,Resale,Strata,94,"10,426",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
THE GARDENS AT BISHAN,"1,550,000","1,227.1","1,263",Aug-21,SIN MING WALK,Resale,Strata,114,"13,596",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,06 to 10
RIVERSAILS,"1,030,000",914.94,"1,126",Aug-21,UPPER SERANGOON CRESCENT,Resale,Strata,85,"12,118",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
RIVERSAILS,"890,000",850.36,"1,047",Aug-21,UPPER SERANGOON CRESCENT,Resale,Strata,79,"11,266",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
THOMSON IMPRESSIONS,"1,220,000",731.95,"1,667",Aug-21,LORONG PUNTONG,Resale,Strata,68,"17,941",-,Apartment,1,99 yrs lease commencing from 2015,20,Rest of Central Region,01 to 05
FLO RESIDENCE,"1,000,000","1,044.11",958,Aug-21,PUNGGOL FIELD WALK,Resale,Strata,97,"10,309",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,16 to 20
BOTANIQUE AT BARTLEY,"1,620,000",958,"1,691",Aug-21,UPPER PAYA LEBAR ROAD,Resale,Strata,89,"18,202",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
SKY VUE,"1,800,000","1,140.98","1,578",Aug-21,BISHAN STREET 15,Resale,Strata,106,"16,981",-,Condominium,1,99 yrs lease commencing from 2013,20,Rest of Central Region,01 to 05
EVANIA,"1,781,000","1,420.85","1,253",Aug-21,UPPER PAYA LEBAR ROAD,Resale,Strata,132,"13,492",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
PARKWOOD RESIDENCES,"2,000,000","1,550.02","1,290",Aug-21,YIO CHU KANG ROAD,New Sale,Strata,144,"13,889",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
KOVAN RESIDENCES,"2,340,000","1,776.06","1,318",Aug-21,KOVAN ROAD,Resale,Strata,165,"14,182",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,11 to 15
THE GARDENS AT BISHAN,"1,550,000","1,205.57","1,286",Aug-21,SIN MING WALK,Resale,Strata,112,"13,839",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,11 to 15
THE WINDSOR,"2,030,000","1,625.36","1,249",Aug-21,ONTARIO AVENUE,Resale,Strata,151,"13,444",-,Condominium,1,Freehold,20,Rest of Central Region,01 to 05
PARC CENTROS,"670,000",462.85,"1,448",Aug-21,PUNGGOL CENTRAL,Resale,Strata,43,"15,581",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
THOMSON IMPRESSIONS,"1,228,000",731.95,"1,678",Aug-21,LORONG PUNTONG,Resale,Strata,68,"18,059",-,Apartment,1,99 yrs lease commencing from 2015,20,Rest of Central Region,11 to 15
KINGSFORD WATERBAY,"627,000",484.38,"1,294",Aug-21,UPPER SERANGOON VIEW,Resale,Strata,45,"13,933",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
BOTANIQUE AT BARTLEY,"808,000",495.14,"1,632",Aug-21,UPPER PAYA LEBAR ROAD,Resale,Strata,46,"17,565",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,16 to 20
THE MINTON,"980,888",979.52,"1,001",Aug-21,HOUGANG STREET 11,Resale,Strata,91,"10,779",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,01 to 05
THE MINTON,"1,086,000",990.29,"1,097",Aug-21,HOUGANG STREET 11,Resale,Strata,92,"11,804",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,01 to 05
BARTLEY RESIDENCES,"1,080,000",796.54,"1,356",Aug-21,LORONG HOW SUN,Resale,Strata,74,"14,595",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
SENGKANG GRAND RESIDENCES,"1,368,360",764.24,"1,790",Aug-21,COMPASSVALE BOW,New Sale,Strata,71,"19,273",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"1,091,000",635.08,"1,718",Aug-21,HOUGANG AVENUE 2,New Sale,Strata,59,"18,492",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
RIVERSAILS,"1,268,000","1,108.69","1,144",Aug-21,UPPER SERANGOON CRESCENT,Resale,Strata,103,"12,311",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,16 to 20
THE PANORAMA,"1,970,000","1,323.97","1,488",Aug-21,ANG MO KIO AVENUE 2,Resale,Strata,123,"16,016",-,Condominium,1,99 yrs lease commencing from 2013,20,Outside Central Region,06 to 10
PARC CENTROS,"990,000","1,033.34",958,Aug-21,PUNGGOL CENTRAL,Resale,Strata,96,"10,313",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
TRILIVE,"1,388,800",904.18,"1,536",Aug-21,TAMPINES ROAD,Resale,Strata,84,"16,533",-,Condominium,1,Freehold,19,Outside Central Region,06 to 10
KOVAN REGENCY,"850,000",613.55,"1,385",Aug-21,KOVAN RISE,Resale,Strata,57,"14,912",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
