Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
HILLHAVEN,"1,659,049",721.19,"2,300",Jun-25,HILLVIEW RISE,New Sale,Strata,67,"24,762",-,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,26 to 30
GUILIN VIEW,"1,988,888","1,700.71","1,169",May-25,BUKIT BATOK STREET 52,Resale,Strata,158,"12,588",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,21 to 25
NORTHVALE,"810,000",721.19,"1,123",May-25,CHOA CHU KANG LOOP,Resale,Strata,67,"12,090",-,Apartment,1,99 yrs lease commencing from 1995,23,Outside Central Region,01 to 05
REGENT GROVE,"1,200,000","1,194.8","1,004",May-25,CHOA CHU KANG NORTH 7,Resale,Strata,111,"10,811",-,Condominium,1,99 yrs lease commencing from 1997,23,Outside Central Region,11 to 15
THE PETALS,"2,410,000","1,636.13","1,473",May-25,HILLVIEW AVENUE,Resale,Strata,152,"15,855",-,Condominium,1,Freehold,23,Outside Central Region,01 to 05
THE ARDEN,"2,008,000","1,108.69","1,811",May-25,PHOENIX ROAD,New Sale,Strata,103,"19,495",-,Apartment,1,99 years leasehold,23,Outside Central Region,01 to 05
THE TENNERY,"1,228,000",882.65,"1,391",May-25,WOODLANDS ROAD,Resale,Strata,82,"14,976",-,Apartment,1,99 yrs lease commencing from 2010,23,Outside Central Region,11 to 15
HILLHAVEN,"2,736,320","1,377.79","1,986",May-25,HILLVIEW RISE,New Sale,Strata,128,"21,378",-,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,06 to 10
THE MYST,"2,376,000","1,162.51","2,044",May-25,UPPER BUKIT TIMAH ROAD,New Sale,Strata,108,"22,000",-,Condominium,1,99 years leasehold,23,Outside Central Region,11 to 15
THE ARDEN,"2,027,000","1,108.69","1,828",May-25,PHOENIX ROAD,New Sale,Strata,103,"19,680",-,Apartment,1,99 yrs lease commencing from 2023,23,Outside Central Region,01 to 05
NORTHVALE,"1,400,000","1,270.15","1,102",May-25,CHOA CHU KANG LOOP,Resale,Strata,118,"11,864",-,Apartment,1,99 yrs lease commencing from 1995,23,Outside Central Region,01 to 05
THE LANAI,"1,500,000",958,"1,566",May-25,HILLVIEW AVENUE,Resale,Strata,89,"16,854",-,Condominium,1,999 yrs lease commencing from 1885,23,Outside Central Region,01 to 05
HILLION RESIDENCES,"2,168,000","1,162.51","1,865",May-25,JELEBU ROAD,Resale,Strata,108,"20,074",-,Apartment,1,99 yrs lease commencing from 2013,23,Outside Central Region,16 to 20
THE TENNERY,"1,198,000",871.88,"1,374",May-25,WOODLANDS ROAD,Resale,Strata,81,"14,790",-,Apartment,1,99 yrs lease commencing from 2010,23,Outside Central Region,11 to 15
HILLHAVEN,"1,840,698",796.54,"2,311",May-25,HILLVIEW RISE,New Sale,Strata,74,"24,874",-,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,21 to 25
LE QUEST,"1,430,000",882.65,"1,620",May-25,BUKIT BATOK STREET 41,Resale,Strata,82,"17,439",-,Apartment,1,99 yrs lease commencing from 2016,23,Outside Central Region,06 to 10
THE MYST,"2,364,000","1,227.1","1,926",May-25,UPPER BUKIT TIMAH ROAD,New Sale,Strata,114,"20,737",-,Condominium,1,99 years leasehold,23,Outside Central Region,21 to 25
THE PETALS,"1,900,888","1,593.07","1,193",May-25,HILLVIEW AVENUE,Resale,Strata,148,"12,844",-,Condominium,1,Freehold,23,Outside Central Region,01 to 05
FORESQUE RESIDENCES,"2,650,000","2,400.37","1,104",May-25,PETIR ROAD,Resale,Strata,223,"11,883",-,Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,21 to 25
MI CASA,"1,568,888","1,280.92","1,225",May-25,CHOA CHU KANG AVENUE 3,Resale,Strata,119,"13,184",-,Condominium,1,99 yrs lease commencing from 2008,23,Outside Central Region,01 to 05
HILLHAVEN,"2,825,910","1,377.79","2,051",May-25,HILLVIEW RISE,New Sale,Strata,128,"22,077",-,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,11 to 15
THE MYST,"2,477,000","1,162.51","2,131",May-25,UPPER BUKIT TIMAH ROAD,New Sale,Strata,108,"22,935",-,Condominium,1,99 years leasehold,23,Outside Central Region,21 to 25
THE WARREN,"1,550,000","1,248.62","1,241",May-25,CHOA CHU KANG LOOP,Resale,Strata,116,"13,362",-,Condominium,1,99 yrs lease commencing from 2001,23,Outside Central Region,11 to 15
THE MADEIRA,"1,480,000","1,248.62","1,185",May-25,BUKIT BATOK STREET 31,Resale,Strata,116,"12,759",-,Condominium,1,99 yrs lease commencing from 2000,23,Outside Central Region,16 to 20
HILLHAVEN,"1,830,670",796.54,"2,298",May-25,HILLVIEW RISE,New Sale,Strata,74,"24,739",-,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,21 to 25
MIDWOOD,"870,000",484.38,"1,796",May-25,HILLVIEW RISE,Resale,Strata,45,"19,333",-,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,16 to 20
THE AMSTON,"1,900,000","1,291.68","1,471",May-25,HILLVIEW AVENUE,Resale,Strata,120,"15,833",-,Apartment,1,999 yrs lease commencing from 1885,23,Outside Central Region,06 to 10
THE HILLIER,"835,000",516.67,"1,616",May-25,HILLVIEW RISE,Resale,Strata,48,"17,396",-,Apartment,1,99 yrs lease commencing from 2011,23,Outside Central Region,11 to 15
THE MYST,"2,427,000","1,162.51","2,088",May-25,UPPER BUKIT TIMAH ROAD,New Sale,Strata,108,"22,472",-,Condominium,1,99 years leasehold,23,Outside Central Region,16 to 20
MIDWOOD,"1,400,000",699.66,"2,001",May-25,HILLVIEW RISE,Resale,Strata,65,"21,538",-,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,16 to 20
MI CASA,"1,670,000","1,259.39","1,326",May-25,CHOA CHU KANG AVENUE 3,Resale,Strata,117,"14,274",-,Condominium,1,99 yrs lease commencing from 2008,23,Outside Central Region,06 to 10
THE MADEIRA,"1,125,000",936.47,"1,201",May-25,BUKIT BATOK STREET 31,Resale,Strata,87,"12,931",-,Condominium,1,99 yrs lease commencing from 2000,23,Outside Central Region,06 to 10
HILLHAVEN,"2,770,745","1,377.79","2,011",May-25,HILLVIEW RISE,New Sale,Strata,128,"21,646",-,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,06 to 10
