Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
HIGH PARK RESIDENCES,"1,260,000",871.88,"1,445",May-25,FERNVALE ROAD,Resale,Strata,81,"15,556",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,06 to 10
THE NAUTICAL,"1,300,000","1,011.82","1,285",May-25,JALAN SENDUDOK,Resale,Strata,94,"13,830",-,Condominium,1,99 yrs lease commencing from 2011,27,Outside Central Region,01 to 05
RIVERBANK @ FERNVALE,"1,368,000",947.23,"1,444",May-25,FERNVALE CLOSE,Resale,Strata,88,"15,545",-,Condominium,1,99 yrs lease commencing from 2013,28,Outside Central Region,16 to 20
RIVERTREES RESIDENCES,"1,165,000",731.95,"1,592",May-25,FERNVALE CLOSE,Resale,Strata,68,"17,132",-,Apartment,1,99 yrs lease commencing from 2013,28,Outside Central Region,16 to 20
ORCHID PARK CONDOMINIUM,"1,195,000","1,248.62",957,May-25,YISHUN STREET 81,Resale,Strata,116,"10,302",-,Condominium,1,99 yrs lease commencing from 1991,27,Outside Central Region,01 to 05
RIVERTREES RESIDENCES,"1,113,888",731.95,"1,522",May-25,FERNVALE CLOSE,Resale,Strata,68,"16,381",-,Apartment,1,99 yrs lease commencing from 2013,28,Outside Central Region,11 to 15
THE WATERGARDENS AT CANBERRA,"1,678,888",958,"1,753",May-25,CANBERRA DRIVE,Sub Sale,Strata,89,"18,864",-,Apartment,1,99 yrs lease commencing from 2020,27,Outside Central Region,01 to 05
SELETAR SPRINGS CONDOMINIUM,"1,033,000",979.52,"1,055",May-25,GERALD DRIVE,Resale,Strata,91,"11,352",-,Condominium,1,99 yrs lease commencing from 1997,28,Outside Central Region,01 to 05
SYMPHONY SUITES,"1,073,000",785.77,"1,366",May-25,YISHUN CLOSE,Resale,Strata,73,"14,699",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,06 to 10
NORTH PARK RESIDENCES,"1,188,000",624.31,"1,903",May-25,YISHUN CENTRAL 1,Resale,Strata,58,"20,483",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,11 to 15
THE COMMODORE,"1,360,000",742.72,"1,831",May-25,CANBERRA DRIVE,Sub Sale,Strata,69,"19,710",-,Condominium,1,99 yrs lease commencing from 2020,27,Outside Central Region,01 to 05
NORTH PARK RESIDENCES,"820,000",430.56,"1,904",May-25,YISHUN CENTRAL 1,Resale,Strata,40,"20,500",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,11 to 15
NINE RESIDENCES,"935,000",699.66,"1,336",May-25,YISHUN AVENUE 9,Resale,Strata,65,"14,385",-,Apartment,1,99 yrs lease commencing from 2013,27,Outside Central Region,06 to 10
EIGHT COURTYARDS,"1,205,000",958,"1,258",May-25,CANBERRA DRIVE,Resale,Strata,89,"13,539",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
SELETAR PARK RESIDENCE,"1,275,000","1,076.4","1,185",May-25,SELETAR ROAD,Resale,Strata,100,"12,750",-,Condominium,1,99 yrs lease commencing from 2011,28,Outside Central Region,01 to 05
HIGH PARK RESIDENCES,"1,560,000",947.23,"1,647",May-25,FERNVALE ROAD,Resale,Strata,88,"17,727",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,11 to 15
YISHUN EMERALD,"1,254,888","1,194.8","1,050",May-25,CANBERRA DRIVE,Resale,Strata,111,"11,305",-,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,06 to 10
SELETAR SPRINGS CONDOMINIUM,"1,438,000","1,334.74","1,077",May-25,GERALD DRIVE,Resale,Strata,124,"11,597",-,Condominium,1,99 yrs lease commencing from 1997,28,Outside Central Region,01 to 05
PARC BOTANNIA,"1,120,000",667.37,"1,678",May-25,FERNVALE STREET,Resale,Strata,62,"18,065",-,Condominium,1,99 yrs lease commencing from 2016,28,Outside Central Region,16 to 20
HIGH PARK RESIDENCES,"1,100,000",678.13,"1,622",May-25,FERNVALE ROAD,Resale,Strata,63,"17,460",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,11 to 15
SUNRISE GARDENS,"1,420,000","1,291.68","1,099",May-25,SUNRISE AVENUE,Resale,Strata,120,"11,833",-,Condominium,1,99 yrs lease commencing from 1995,28,Outside Central Region,01 to 05
THE WISTERIA,"1,355,000",968.76,"1,399",May-25,YISHUN RING ROAD,Resale,Strata,90,"15,056",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,06 to 10
PARC BOTANNIA,"1,170,000",667.37,"1,753",May-25,FERNVALE STREET,Resale,Strata,62,"18,871",-,Condominium,1,99 yrs lease commencing from 2016,28,Outside Central Region,21 to 25
SYMPHONY SUITES,"1,140,000",914.94,"1,246",May-25,YISHUN CLOSE,Resale,Strata,85,"13,412",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
PARC BOTANNIA,"1,603,888",968.76,"1,656",May-25,FERNVALE STREET,Resale,Strata,90,"17,821",-,Condominium,1,99 yrs lease commencing from 2016,28,Outside Central Region,01 to 05
PARC BOTANNIA,"1,450,000",871.88,"1,663",May-25,FERNVALE STREET,Resale,Strata,81,"17,901",-,Condominium,1,99 yrs lease commencing from 2016,28,Outside Central Region,06 to 10
NORTH PARK RESIDENCES,"1,400,000",764.24,"1,832",May-25,YISHUN CENTRAL 1,Resale,Strata,71,"19,718",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,11 to 15
HIGH PARK RESIDENCES,"1,125,000",667.37,"1,686",May-25,FERNVALE ROAD,Resale,Strata,62,"18,145",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,16 to 20
THE COMMODORE,"1,358,888",742.72,"1,830",May-25,CANBERRA DRIVE,Sub Sale,Strata,69,"19,694",-,Condominium,1,99 yrs lease commencing from 2020,27,Outside Central Region,01 to 05
HIGH PARK RESIDENCES,"2,350,000","1,399.32","1,679",May-25,FERNVALE ROAD,Resale,Strata,130,"18,077",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,16 to 20
SELETAR SPRINGS CONDOMINIUM,"2,180,000","2,077.45","1,049",May-25,GERALD DRIVE,Resale,Strata,193,"11,295",-,Condominium,1,99 yrs lease commencing from 1997,28,Outside Central Region,01 to 05
HIGH PARK RESIDENCES,"740,000",452.09,"1,637",May-25,FERNVALE ROAD,Resale,Strata,42,"17,619",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,06 to 10
