Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
MARINA BAY SUITES,"4,080,000","2,055.92","1,985",Jun-25,CENTRAL BOULEVARD,Resale,Strata,191,"21,361",-,Condominium,1,99 yrs lease commencing from 2007,01,Core Central Region,51 to 55
ONE MARINA GARDENS,"1,256,336",419.8,"2,993",Jun-25,MARINA GARDENS LANE,New Sale,Strata,39,"32,214",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,06 to 10
ONE MARINA GARDENS,"1,261,959",419.8,"3,006",Jun-25,MARINA GARDENS LANE,New Sale,Strata,39,"32,358",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,11 to 15
ONE MARINA GARDENS,"1,974,942",667.37,"2,959",Jun-25,MARINA GARDENS LANE,New Sale,Strata,62,"31,854",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,11 to 15
ONE MARINA GARDENS,"1,249,849",419.8,"2,977",Jun-25,MARINA GARDENS LANE,New Sale,Strata,39,"32,047",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,16 to 20
ONE MARINA GARDENS,"1,255,040",419.8,"2,990",May-25,MARINA GARDENS LANE,New Sale,Strata,39,"32,181",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,21 to 25
ONE MARINA GARDENS,"1,258,499",419.8,"2,998",May-25,MARINA GARDENS LANE,New Sale,Strata,39,"32,269",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,06 to 10
THE ARRIS,"2,250,000",990.29,"2,272",May-25,YAN KIT ROAD,Resale,Strata,92,"24,457",-,Apartment,1,Freehold,02,Rest of Central Region,01 to 05
ONE MARINA GARDENS,"1,260,661",419.8,"3,003",May-25,MARINA GARDENS LANE,New Sale,Strata,39,"32,325",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,11 to 15
ONE MARINA GARDENS,"1,223,901",419.8,"2,915",May-25,MARINA GARDENS LANE,New Sale,Strata,39,"31,382",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,06 to 10
ONE MARINA GARDENS,"1,268,591",430.56,"2,946",May-25,MARINA GARDENS LANE,New Sale,Strata,40,"31,715",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,01 to 05
ONE MARINA GARDENS,"1,275,244",430.56,"2,962",May-25,MARINA GARDENS LANE,New Sale,Strata,40,"31,881",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,06 to 10
ONE MARINA GARDENS,"1,262,824",419.8,"3,008",May-25,MARINA GARDENS LANE,New Sale,Strata,39,"32,380",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,26 to 30
ONE MARINA GARDENS,"1,292,099",430.56,"3,001",May-25,MARINA GARDENS LANE,New Sale,Strata,40,"32,302",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,26 to 30
ONE MARINA GARDENS,"1,264,555",419.8,"3,012",May-25,MARINA GARDENS LANE,New Sale,Strata,39,"32,424",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,11 to 15
ONE MARINA GARDENS,"1,964,832",667.37,"2,944",May-25,MARINA GARDENS LANE,New Sale,Strata,62,"31,691",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,06 to 10
ONE MARINA GARDENS,"2,178,361",721.19,"3,021",May-25,MARINA GARDENS LANE,New Sale,Strata,67,"32,513",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,16 to 20
